"filename","name_orig","name_new"
zimb002.rwl,MZO25B,afAQ
zimb002.rwl,MZO29A,afAR
zimb002.rwl,MZO30A,afAS
zimb002.rwl,MZO31A,afAT
zimb002.rwl,MZO35A,afAU
zimb002.rwl,MZO37A,afAV
zimb002.rwl,MZO37B,afAW
zimb002.rwl,MZO38A,afAX
zimb002.rwl,MAT10A,afAY
zimb002.rwl,MAT10B,afAZ
zimb001.rwl,BAO04A,afBA
zimb001.rwl,BAO04B,afBB
zimb001.rwl,BAO05A,afBC
zimb001.rwl,BAO05B,afBD
zimb001.rwl,BAO06A,afBE
zimb001.rwl,BAO06B,afBF
zimb001.rwl,BAO07A,afBG
zimb001.rwl,BAO07B,afBH
zimb001.rwl,BAO08A,afBI
zimb001.rwl,BAO08B,afBJ
zimb001.rwl,BAO09A,afBK
zimb001.rwl,BAO09B,afBL
zimb001.rwl,BAO10A,afBM
zimb001.rwl,BAO10B,afBN
zimb001.rwl,BAO10C,afBO
zimb001.rwl,BAO11A,afBP
zimb001.rwl,BAO11C,afBQ
zimb001.rwl,BAO12A,afBR
zimb001.rwl,BAO12B,afBS
zimb001.rwl,BAO13A,afBT
zimb001.rwl,BAO13B,afBU
zimb001.rwl,BAO13C,afBV
tuni003.rwl,JEB01A,afBW
tuni003.rwl,JEB01B,afBX
tuni003.rwl,JEB02A,afBY
tuni003.rwl,JEB02B,afBZ
tuni003.rwl,JEB03A,afCA
tuni003.rwl,JEB03B,afCB
tuni003.rwl,JEB04A,afCC
tuni003.rwl,JEB05A,afCD
tuni003.rwl,JEB05B,afCE
tuni003.rwl,JEB07A,afCF
tuni003.rwl,JEB07B,afCG
tuni003.rwl,JEB08A,afCH
tuni003.rwl,JEB08B,afCI
tuni003.rwl,JEB09A,afCJ
tuni003.rwl,JEB09B,afCK
tuni003.rwl,JEB10A,afCL
tuni003.rwl,JEB10B,afCM
tuni003.rwl,JEB12A,afCN
tuni003.rwl,JEB12B,afCO
tuni003.rwl,JEB13A,afCP
tuni003.rwl,JEB13B,afCQ
tuni003.rwl,JEB14A,afCR
tuni003.rwl,JEB14B,afCS
tuni003.rwl,JEB15A,afCT
tuni003.rwl,JEB15B,afCU
tuni002.rwl,DHA01A,afCV
tuni002.rwl,DHA01B,afCW
tuni002.rwl,DHA02A,afCX
tuni002.rwl,DHA02B,afCY
tuni002.rwl,DHA03,afCZ
tuni002.rwl,DHA04B,afDA
tuni002.rwl,DHA05A,afDB
tuni002.rwl,DHA06A,afDC
tuni002.rwl,DHA06B,afDD
tuni002.rwl,DHA07A,afDE
tuni002.rwl,DHA07B,afDF
tuni002.rwl,DHA08A,afDG
tuni002.rwl,DHA08B,afDH
tuni002.rwl,DHA09A,afDI
tuni002.rwl,DHA09B,afDJ
tuni002.rwl,DHA10A,afDK
